Area,Parent Task,Task,Dataset,Best method name,Primary metric,Primary metric - is higher better?,Metric first reported value,Metric SOTA value in 2013,Metric SOTA value in 2014,Metric SOTA value in 2015,Metric SOTA value in 2016,Metric SOTA value in 2017,Metric SOTA value in 2018,Metric SOTA value in 2019,Papers all time,Papers in 2013,Papers in 2014,Papers in 2015,Papers in 2016,Papers in 2017,Papers in 2018,Papers in 2019,Papers with code all time,Papers with code in 2013,Papers with code in 2014,Papers with code in 2015,Papers with code in 2016,Papers with code in 2017,Papers with code in 2018,Papers with code in 2019
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL VOC 2012,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,69.80%,,,69.80%,85.40%,86.90%,89.00%,89.00%,19,0,0,2,7,6,4,0,19,0,0,2,7,6,4,0
Computer Vision,Semantic Segmentation,Semantic Segmentation,Cityscapes,DeepLabv3+ (Xception-JFT),Mean IoU,TRUE,63.10%,,63.10%,67.10%,81.20%,82.00%,82.10%,82.10%,18,0,1,3,5,2,6,1,18,0,1,3,5,2,6,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,PASCAL Context,Joint Pyramid Upsampling + EncNet,mIoU,TRUE,37.8,,37.8,43.3,47.3,47.3,51.7,53.1,12,0,1,5,3,0,1,2,8,0,1,2,2,0,1,2
Computer Vision,Semantic Segmentation,Semantic Segmentation,ADE20K,PSPNet,Validation mIoU,TRUE,29.39,,29.39,32.31,44.94,44.94,44.94,44.94,7,0,1,2,2,0,1,1,7,0,1,2,2,0,1,1
Computer Vision,Semantic Segmentation,Semantic Segmentation,CamVid,PSPNet,Mean IoU,TRUE,61.60%,,61.60%,65.30%,69.10%,69.10%,69.10%,69.10%,7,0,1,3,2,0,1,0,7,0,1,3,2,0,1,0
Computer Vision,Semantic Segmentation,Semantic Segmentation,ShapeNet,SGPN,Mean IoU,TRUE,84.60%,,,,,85.80%,85.80%,85.80%,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0
Computer Vision,Semantic Segmentation,Semantic Segmentation,NYU Depth v2,Dilated FCN-2s RGB,Mean IoU,TRUE,32.30%,,,,,32.30%,32.30%,32.30%,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Image Classification,Image Classification,CIFAR-10,GPIPE + transfer learning,Percentage correct,TRUE,88.8,91.2,96.5,96.5,96.69,97.88,99,99,57,4,10,17,8,7,5,1,40,3,7,9,7,6,5,1
Computer Vision,Image Classification,Image Classification,MNIST,RMDL,Percentage error,FALSE,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.18,27,2,7,12,2,1,1,1,13,2,4,4,1,0,1,0
Computer Vision,Image Classification,Image Classification,CIFAR-100,GPIPE,Percentage correct,TRUE,57.5,64.3,75.7,75.7,82.62,84.59,91.3,91.3,39,5,7,12,6,6,3,0,28,3,6,7,5,4,3,0
Computer Vision,Image Classification,Image Classification,ImageNet,GPIPE,Top 1 Accuracy,TRUE,69.80%,,69.80%,78.80%,81.30%,82.70%,84.30%,84.30%,19,0,1,2,4,6,3,3,19,0,1,2,4,6,3,3
Computer Vision,Image Classification,Image Classification,SVHN,WRN + fixup init + mixup + cutout,Percentage error,FALSE,2.8,2.16,1.92,1.69,1.59,1.54,1.54,1.4,21,4,1,7,4,4,0,1,15,4,1,2,4,3,0,1
Computer Vision,Image Classification,Image Classification,STL-10,IIC,Percentage correct,TRUE,70.1,70.1,72.8,74.33,77.79,87.26,87.26,88.8,12,1,6,2,1,1,0,1,5,0,1,1,1,1,0,1
Computer Vision,Image Classification,Image Classification,MSRC-21 (per-class),Large FC CRF,Percentage correct,TRUE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Vision,Image Classification,Image Classification,MSRC-21 (per-pixel),HCRF+CO,Percentage correct,TRUE,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Computer Vision,Image Classification,Image Classification,Fashion-MNIST,Random Erasing,Percentage error,FALSE,3.65,,,,,3.65,3.65,3.65,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Image Classification,Image Classification,iNaturalist,IncResNetV2 SE,Top 1 Accuracy,TRUE,67.30%,,,,,67.30%,67.30%,67.30%,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Image Classification,Image Classification,MultiMNIST,CapsNet,Percentage error,FALSE,5.2,,,,,5.2,5.2,5.2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Object Detection,Object Detection,COCO,SNIPER,Bounding Box AP,TRUE,34.9,,,34.9,36.8,45.7,47.6,47.6,26,0,0,1,5,8,8,4,25,0,0,1,5,8,8,3
Computer Vision,Object Detection,Object Detection,PASCAL VOC 2007,SNIPER,MAP,TRUE,82.44%,,82.44%,82.44%,82.44%,83.80%,86.90%,86.90%,17,0,1,4,4,6,2,0,17,0,1,4,4,6,2,0
Computer Vision,Object Detection,Object Detection,ImageNet Detection,Inception V1,MAP,TRUE,24.30%,24.30%,43.90%,43.90%,43.90%,43.90%,43.90%,43.90%,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0
Computer Vision,Image Generation,Image Generation,CIFAR-10,PGGAN,Inception score,TRUE,5.34,,,,6.86,8.8,8.8,8.8,30,0,3,2,8,8,7,2,25,0,1,1,8,7,6,2
Computer Vision,Image Generation,Image Generation,LSUN Bedroom 256 x 256,COCO-GAN,FID,FALSE,9.5,,,,,8.34,8.34,6.95,6,0,0,0,0,3,1,2,6,0,0,0,0,3,1,2
Computer Vision,Image Generation,Image Generation,CelebA-HQ 1024x1024,StyleGAN,FID,FALSE,7.3,,,,,7.3,5.06,5.06,3,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1
Computer Vision,Image Generation,Image Generation,CAT 256x256,RaSGAN,FID,FALSE,155.46,,,,,155.46,32.11,32.11,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
Computer Vision,Image Generation,Image Generation,FFHQ,StyleGAN,FID,FALSE,8.04,,,,,8.04,4.4,4.4,2,0,0,0,0,1,1,0,2,0,0,0,0,1,1,0
Computer Vision,Pose Estimation,Pose Estimation,MPII Human Pose,HRNet-32,PCKh-0.5,TRUE,82.40%,,,82.40%,90.90%,92.00%,92.00%,92.30%,12,0,0,1,3,4,2,2,11,0,0,1,3,4,2,1
Computer Vision,Pose Estimation,Pose Estimation,Leeds Sports Poses,Pyramid Residual Modules (PRMs),PCK,TRUE,90.50%,,,,90.50%,93.90%,93.90%,93.90%,6,0,0,0,2,4,0,0,6,0,0,0,2,4,0,0
Computer Vision,Pose Estimation,Pose Estimation,FLIC Elbows,Stacked Hourglass Networks,PCK@0.2,TRUE,97.59%,,,,99.00%,99.00%,99.00%,99.00%,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
Computer Vision,Pose Estimation,Pose Estimation,FLIC Wrists,Stacked Hourglass Networks,PCK@0.2,TRUE,95.03%,,,,97.00%,97.00%,97.00%,97.00%,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
Computer Vision,Pose Estimation,Pose Estimation,DensePose-COCO,Parsing R-CNN + ResNext101,AP,TRUE,55.8,,,,,,61.6,61.6,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
Computer Vision,Pose Estimation,Pose Estimation,ITOP top-view,V2V-PoseNet,Mean mAP,TRUE,75.5,,,,75.5,83.44,83.44,83.44,2,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0
Computer Vision,Pose Estimation,Pose Estimation,COCO,HRNet-48,Mean mAP,TRUE,73.7,,,,,,73.7,77,2,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1
Computer Vision,Pose Estimation,Pose Estimation, ITOP front-view,V2V-PoseNet,Mean mAP,TRUE,77.4,,,,77.4,88.74,88.74,88.74,2,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0
Computer Vision,Super Resolution,Super Resolution,Set5-2x,FALSR-A ,PSNR,TRUE,37.82,,,,,,,37.82,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Computer Vision,Image Retrieval,Image Retrieval,Par106k,DELF+FT+ATT+DIR+QE,Accuracy,TRUE,90.50%,,,,92.80%,92.80%,92.80%,92.80%,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
Computer Vision,Image Retrieval,Image Retrieval,Oxf105k,DELF+FT+ATT+DIR+QE,MAP,TRUE,87.80%,,,,88.50%,88.50%,88.50%,88.50%,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
Computer Vision,Image Retrieval,Image Retrieval,Par6k,DELF+FT+ATT+DIR+QE,Accuracy,TRUE,93.80%,,,,95.70%,95.70%,95.70%,95.70%,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
Computer Vision,Image Retrieval,Image Retrieval,Oxf5k,DELF+FT+ATT+DIR+QE,MAP,TRUE,89%,,,,90.00%,90.00%,90.00%,90.00%,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
Computer Vision,Image Retrieval,Image Retrieval,street2shop - topwear,Ranknet,Accuracy,TRUE,94.98,,,,,,,94.98,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2
Computer Vision,Image Retrieval,Image Retrieval,INRIA Holidays,MultiGrain R50 @ 800,Mean mAP,TRUE,92.50%,,,,,,,92.50%,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Computer Vision,Image Retrieval,Image Retrieval,Stanford Cars,ABE-8-512,Recall@8,TRUE,96.1,,,,,,96.1,96.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Computer Vision,Action Recognition,Action Recognition,UCF101,Two-Stream I3D,Accuracy,TRUE,93.4,,,,,93.4,93.4,93.4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Action Recognition,Action Recognition,HMDB51,Two-Stream I3D,Accuracy,TRUE,80.9,,,,,80.9,80.9,80.9,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) real images 1.0 open ended,MCB 7 att.,Percentage correct,TRUE,58.2,,,58.9,66.5,66.5,66.5,66.5,11,0,0,4,6,1,0,0,6,0,0,3,2,1,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,VQA v2,"Image features from bottom-up attention, adaptive K, ensemble",Accuracy,TRUE,62.27%,,,,62.27%,70.34%,70.34%,70.34%,4,0,0,0,1,2,1,0,4,0,0,0,1,2,1,0
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) real images 1.0 multiple choice,MCB 7 att.,Percentage correct,TRUE,63.1,,,63.1,70.1,70.1,70.1,70.1,7,0,0,2,5,0,0,0,4,0,0,2,2,0,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) real images 2.0 open ended,Up-Down,Percentage correct,TRUE,68.16,,,68.16,68.16,70.34,70.34,70.34,3,0,0,1,1,1,0,0,3,0,0,1,1,1,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) abstract 1.0 multiple choice,Graph VQA,Percentage correct,TRUE,71.18,,,71.18,74.37,74.37,74.37,74.37,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,COCO Visual Question Answering (VQA) abstract images 1.0 open ended,Graph VQA,Percentage correct,TRUE,69.73,,,69.73,70.42,70.42,70.42,70.42,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,Visual7W,CMN,Percentage correct,TRUE,62.2,,,,72.53,72.53,72.53,72.53,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,Visual Genome (subjects),CMN,Percentage correct,TRUE,44.24,,,,44.24,44.24,44.24,44.24,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Visual Question Answering,Visual Question Answering,Visual Genome (pairs),CMN,Percentage correct,TRUE,28.52,,,,28.52,28.52,28.52,28.52,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Super Resolution,Image Super-Resolution,Set5 - 4x upscaling,PFF,PSNR,TRUE,30.49,,30.49,31.52,32.23,32.46,32.74,32.74,38,0,1,3,7,9,17,1,35,0,1,1,7,9,16,1
Computer Vision,Super Resolution,Image Super-Resolution,Set14 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,PSNR,TRUE,27.5,,27.5,28.02,28.8,28.8,28.99,28.99,37,0,1,3,5,10,17,1,33,0,1,1,5,9,16,1
Computer Vision,Super Resolution,Image Super-Resolution,BSD100 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,PSNR,TRUE,26.9,,26.9,27.21,27.66,27.71,27.85,27.85,34,0,1,2,7,7,16,1,31,0,1,1,7,6,15,1
Computer Vision,Super Resolution,Image Super-Resolution,Urban100 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,PSNR,TRUE,24.52,,24.52,24.52,26.42,26.64,27.03,27.03,23,0,1,0,3,4,14,1,21,0,1,0,3,3,13,1
Computer Vision,Super Resolution,Image Super-Resolution,Manga109 - 4x upscaling,SRGAN + Residual-in-Residual Dense Block,SSIM,TRUE,0.8555,,0.8555,0.8555,0.8555,0.9148,0.9196,0.9196,8,0,1,0,0,2,4,1,8,0,1,0,0,2,4,1
Computer Vision,Optical Flow Estimation,Optical Flow Estimation,Sintel-clean,PWC-Net,Average End-Point Error,FALSE,6.64,,,,6.64,6.64,3.45,3.45,3,0,0,0,1,0,2,0,3,0,0,0,1,0,2,0
Computer Vision,Optical Flow Estimation,Optical Flow Estimation,Sintel-final,PWC-Net,Average End-Point Error,FALSE,8.36,,,,8.36,8.36,4.6,4.6,3,0,0,0,1,0,2,0,3,0,0,0,1,0,2,0
Computer Vision,Person Re-Identification,Person Re-Identification,Market-1501,Parameter-Free Spatial Attention,MAP,TRUE,22.22,,22.22,22.22,59.9,81.6,91.7,91.7,22,0,1,1,3,13,3,1,10,0,0,0,1,5,3,1
Computer Vision,Person Re-Identification,Person Re-Identification,DukeMTMC-reID,Parameter-Free Spatial Attention,MAP,TRUE,17.04,,17.04,17.04,47.4,69.2,85.9,85.9,15,0,1,1,2,8,3,0,10,0,0,0,1,6,3,0
Computer Vision,Instance Segmentation,Instance Segmentation,COCO,PANet,Average Precision,TRUE,25.00%,,,,25.00%,40.30%,42.00%,42.00%,5,0,0,0,1,2,1,1,5,0,0,0,1,2,1,1
Computer Vision,Instance Segmentation,Instance Segmentation,NYU Depth v2,SGPN-CNN,MAP,TRUE,43.5,,,,,43.5,43.5,43.5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Computer Vision,Facial Recognition and Modelling,Face Recognition,Olivetti Faces 5 Image,RMDL,Accuracy,TRUE,95,,,,,,95,95,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Computer Vision,Facial Recognition and Modelling,Face Recognition,IJB-A,SE-GV-3,TAR @ FAR=0.01,TRUE,0.972,,,,,,0.972,0.972,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Computer Vision,Facial Recognition and Modelling,Face Recognition,IJB-B,"GhostVLAD, SE-GV-3",TAR @ FAR=0.01,TRUE,0.963,,,,,,0.963,0.963,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Computer Vision,Image Generation,Image-to-Image Translation,Cityscapes Labels-to-Photo,pix2pix,Class IOU,TRUE,0.02,,,,0.18,0.18,0.18,0.18,9,0,0,0,4,3,1,1,7,0,0,0,4,2,0,1
Computer Vision,Image Generation,Image-to-Image Translation,Cityscapes Photo-to-Labels,pix2pix,Class IOU,TRUE,0.07,,,,0.32,0.32,0.32,0.32,5,0,0,0,4,1,0,0,5,0,0,0,4,1,0,0
Computer Vision,Image Generation,Image-to-Image Translation,ADE20K-Outdoor Labels-to-Photos,SPADE,mIoU,TRUE,16.5,,,,,17.4,17.4,30.8,4,0,0,0,0,2,1,1,2,0,0,0,0,1,0,1
Computer Vision,Image Generation,Image-to-Image Translation,RaFD,StarGAN,Classification Error,FALSE,4.10%,,,,4.10%,2.12%,2.12%,2.12%,4,0,0,0,2,2,0,0,3,0,0,0,1,2,0,0
Computer Vision,Image Generation,Image-to-Image Translation,COCO-Stuff Labels-to-Photos,SPADE,mIoU,TRUE,23.7,,,,,23.7,23.7,37.4,3,0,0,0,0,2,0,1,2,0,0,0,0,1,0,1
Computer Vision,Image Generation,Image-to-Image Translation,ADE20K Labels-to-Photos,SPADE,mIoU,TRUE,22.4,,,,,22.4,22.4,38.5,3,0,0,0,0,2,0,1,2,0,0,0,0,1,0,1
Computer Vision,Image Generation,Image-to-Image Translation,Aerial-to-Map,cGAN,Class IOU,TRUE,0.26,,,,0.26,0.26,0.26,0.26,2,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0
Computer Vision,Image Generation,Image-to-Image Translation,SYNTHIA-to-Cityscapes,superpixel + color constancy,mIoU,TRUE,20.2,,,,20.2,20.2,29.7,29.7,2,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0
Computer Vision,Image Generation,Image-to-Image Translation,SYNTHIA Fall-to-Winter,CyCADA,mIoU,TRUE,59.6,,,,59.6,63.3,63.3,63.3,2,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma50,MWCNN,PSNR,TRUE,26.23,,,,26.23,26.29,26.53,26.53,7,0,0,0,1,2,4,0,7,0,0,0,1,2,4,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma25,NLRN,PSNR,TRUE,29.23,,,,29.23,29.23,29.41,29.41,6,0,0,0,1,2,3,0,6,0,0,0,1,2,3,0
Computer Vision,Denoising,Image Denoising,Urban100 sigma50,Residual Dense Network +,PSNR,TRUE,26.32,,,,26.32,26.32,29.38,29.38,6,0,0,0,2,0,4,0,6,0,0,0,2,0,4,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma15,NLRN,PSNR,TRUE,31.73,,,,31.73,31.73,31.88,31.88,5,0,0,0,1,2,2,0,5,0,0,0,1,2,2,0
Computer Vision,Denoising,Image Denoising,Urban100 sigma70,Residual Dense Network +,PSNR,TRUE,24.63,,,,24.63,24.63,27.74,27.74,4,0,0,0,2,0,2,0,4,0,0,0,2,0,2,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma70,Residual Dense Network +,PSNR,TRUE,26.56,,,,26.56,26.56,26.88,26.88,3,0,0,0,1,0,2,0,3,0,0,0,1,0,2,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma30,Residual Dense Network +,PSNR,TRUE,30.4,,,,30.4,30.4,30.7,30.7,2,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0
Computer Vision,Denoising,Image Denoising,Urban100 sigma30,Residual Dense Network +,PSNR,TRUE,30.19,,,,,,31.78,31.78,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0
Computer Vision,Denoising,Image Denoising,BSD68 sigma10,Residual Dense Network +,PSNR,TRUE,36.31,,,,36.31,36.31,36.49,36.49,2,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma50,RED30,PSNR,TRUE,25.75,,,,25.75,25.75,25.75,25.75,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma30,RED30,PSNR,TRUE,27.95,,,,27.95,27.95,27.95,27.95,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma70,RED30,PSNR,TRUE,24.37,,,,24.37,24.37,24.37,24.37,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Denoising,Image Denoising,BSD200 sigma10,RED30,PSNR,TRUE,33.63,,,,33.63,33.63,33.63,33.63,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Computer Vision,Image Reconstruction,Image Reconstruction,Edge-to-Shoes,PI-REC,FID,FALSE,0.015,,,,,,,0.015,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Computer Vision,Image Reconstruction,Image Reconstruction,Edge-to-Handbags,PI-REC,FID,FALSE,0.069,,,,,,,0.069,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Hard),DSFD,AP,TRUE,0.29,,0.29,0.4,0.823,0.876,0.9,0.9,14,0,1,1,4,3,5,0,8,0,0,1,3,1,3,0
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Easy),DSFD,AP,TRUE,0.695,,0.695,0.716,0.919,0.943,0.96,0.96,12,0,1,1,3,3,4,0,6,0,0,1,2,1,2,0
Computer Vision,Facial Recognition and Modelling,Face Detection,WIDER Face (Medium),DSFD,AP,TRUE,0.588,,0.588,0.636,0.908,0.931,0.953,0.953,12,0,1,1,3,3,4,0,6,0,0,1,2,1,2,0
Computer Vision,Facial Recognition and Modelling,Face Detection,Annotated Faces in the Wild,SRN,AP,TRUE,0.9721,,0.9721,0.9721,0.994,0.9985,0.9987,0.9987,9,0,1,0,3,3,2,0,6,0,0,0,2,3,1,0
Computer Vision,Facial Recognition and Modelling,Face Detection,FDDB,DSFD,AP,TRUE,0.864,,0.864,0.864,0.901,0.99,0.991,0.991,9,0,1,0,1,3,4,0,6,0,0,0,1,2,3,0
